Symbol,N_Datasets,Consistent_Direction,Combined_Z_Stouffer,Combined_P_Stouffer,Combined_P_Stouffer_BH
FAM171B,2,TRUE,3.166811555,0.001541201556,0.01712115716
ADAMTS16,2,TRUE,-3.089716524,0.00200347614,0.02097902269
SSBP2,3,TRUE,-3.150295527,0.001631053839,0.01793176661
GFOD1,3,TRUE,-4.007803008,6.13E-05,0.001444522644
DENND2A,3,TRUE,-3.28110742,0.001034003559,0.01256840672
DIAPH2,3,TRUE,-3.716252112,0.0002021998292,0.003597636238
MFHAS1,2,TRUE,-2.792787817,0.005225595654,0.04372543547
FBXO25,3,TRUE,2.923213653,0.003464387106,0.03179421356
SLC25A37,3,TRUE,-3.127205821,0.001764763339,0.01905184322
VLDLR,2,TRUE,-3.200507592,0.001371857553,0.0157587497
SIGMAR1,2,TRUE,-3.136423275,0.001710221785,0.01862581697
ASTN2,3,TRUE,4.097669971,4.17E-05,0.001072713696
FADS1,3,TRUE,-3.643963986,0.0002684710022,0.004425441359
KIRREL3,2,TRUE,-2.810088282,0.004952791245,0.04201321922
MPZL2,2,TRUE,3.595716889,0.0003234994717,0.005070804602
RILPL2,2,TRUE,2.824792457,0.004731125005,0.04056384023
DHX37,2,TRUE,-3.701142727,0.000214630701,0.003755680964
SCLT1,3,TRUE,2.881738134,0.003954882629,0.03537013294
INPP1,2,TRUE,2.804985982,0.005031876818,0.04251469996
CCDC122,2,TRUE,3.53384813,0.0004095563352,0.006140941529
ZNF385D,2,TRUE,-5.512929544,3.53E-08,3.11E-06
PDK1,3,TRUE,-3.677352025,0.0002356677059,0.00397708711
MERTK,2,TRUE,5.705801019,1.16E-08,1.19E-06
PID1,2,TRUE,-3.960629669,7.48E-05,0.00170528883
CABYR,2,TRUE,4.524365956,6.06E-06,0.0002403319899
CEP112,2,TRUE,3.34514019,0.000822409899,0.0105803489
NEIL2,2,TRUE,-3.3907099,0.0006971184935,0.009267105884
LY96,2,TRUE,3.472680086,0.0005152891788,0.007314243621
VOPP1,2,TRUE,-3.722081264,0.0001975874067,0.003540223171
PPARGC1B,4,TRUE,-3.17162404,0.00151589115,0.01692789287
TIAM1,2,TRUE,-2.742902003,0.006089885675,0.04908409432
SFXN2,2,TRUE,-3.529993241,0.0004155702839,0.006201998104
PTDSS1,2,TRUE,-3.148657496,0.001640223113,0.01801706816
SAMD8,3,TRUE,2.933600267,0.003350554136,0.03103939745
PDE6D,2,TRUE,4.768163216,1.86E-06,8.96E-05
NMNAT2,2,TRUE,-2.952590775,0.003151194046,0.02964396461
MYO1E,3,TRUE,-5.216506974,1.82E-07,1.29E-05
FMNL2,2,TRUE,-4.653071342,3.27E-06,0.000140193638
TNFRSF14,2,TRUE,6.068292804,1.29E-09,1.81E-07
GRHL3,2,TRUE,5.814069265,6.10E-09,6.95E-07
GART,4,TRUE,-3.898443066,9.68E-05,0.0020308507
ADIPOR1,2,TRUE,3.666453837,0.0002459372913,0.004112416496
CCDC107,2,TRUE,-4.541024408,5.60E-06,0.0002241894339
SLC37A1,2,TRUE,4.011725696,6.03E-05,0.001431287089
WDR4,3,TRUE,-2.903705002,0.003687754525,0.03343581552
LOC102724560,2,TRUE,-3.08892504,0.002008821172,0.02101776451
ST6GALNAC6,2,TRUE,-2.999804606,0.002701528485,0.02627769472
BRSK1,2,TRUE,4.080572852,4.49E-05,0.001134219181
SQSTM1,2,TRUE,3.956821604,7.60E-05,0.001723458903
DMKN,2,TRUE,-3.252653143,0.001143329675,0.01363775593
GRIN2C,3,TRUE,3.014261719,0.002576054773,0.02535369779
IP6K3,2,TRUE,8.774011916,1.72E-18,1.22E-15
GMEB1,3,TRUE,-4.955002007,7.23E-07,4.09E-05
TMEM169,2,TRUE,3.399292996,0.0006756029956,0.009056482968
SERPINI1,2,TRUE,3.590328789,0.0003302611058,0.00515780639
TTC14,2,TRUE,3.532789619,0.0004111995537,0.006151140865
TMEM41A,2,TRUE,-3.936134697,8.28E-05,0.001823840679
PPM1M,2,TRUE,3.114988685,0.001839519659,0.01958321971
PRSS12,2,TRUE,-3.408053709,0.0006542801529,0.008844898363
CMBL,2,TRUE,3.413284351,0.0006418493371,0.008713735687
CDCA7L,2,TRUE,-2.887119563,0.003887864596,0.03490335223
NFIL3,2,TRUE,-5.266335017,1.39E-07,1.02E-05
MID1IP1,2,TRUE,-3.248977237,0.001158207458,0.01376564151
NOL6,3,TRUE,-3.096298238,0.001959531652,0.02063727688
FAT3,2,TRUE,-4.043097482,5.27E-05,0.001293430163
SLC16A9,2,TRUE,-2.894742604,0.003794695523,0.03428375906
ZNF219,3,TRUE,2.930033768,0.003389251709,0.03130707924
PRAP1,2,TRUE,5.505374872,3.68E-08,3.20E-06
TCP11L2,2,TRUE,4.059200423,4.92E-05,0.001219097365
ADAMTS15,2,TRUE,-3.937334941,8.24E-05,0.001820480106
CLMP,3,TRUE,-3.402901503,0.0006667431215,0.008984855883
ILK,3,TRUE,-3.50640044,0.0004542113217,0.006623915109
RRAD,3,TRUE,5.768652071,7.99E-09,8.73E-07
BLCAP,2,TRUE,3.09934791,0.001939471256,0.020476649
SPINT2,2,TRUE,3.752462661,0.0001751059194,0.003227962656
TSR1,3,TRUE,-3.09260742,0.001984064121,0.02082696725
SPRYD3,2,TRUE,-3.743547264,0.0001814404539,0.003302066182
POLR3D,3,TRUE,-3.856655659,0.0001149489099,0.00232721446
